name;watchers;forks;tweets;size;url
loglevel;111;4;4;0.7;https://github.com/pimterry/loglevel
Fayer;32;4;10;0.5;https://github.com/sandeepjain/fayer
strftime;56;12;5;1.5;https://github.com/samsonjs/strftime
Respond.js;4,525;986;830;1.8;https://github.com/scottjehl/Respond
Chic;7;2;3;0.4;https://github.com/rowanmanning/chic
Graph;4;0;0;0.5;https://github.com/ryansmith94/Graph
cm.js;3;2;0;0.4;https://github.com/timseverien/cm.js
Intro.js;5,360;616;71;2.9;https://github.com/usablica/intro.js
Backbone;0;0;2,530;6.2;http://backbonejs.org/
Radio.js;151;10;38;0.5;http://radio.uxder.com
StdClassJS;4;0;1;0.5;https://github.com/BlueJeansAndRain/stdclassjs
ScriptInclude;6;3;0;0.3;https://github.com/EvanHahn/ScriptInclude
cryptofoo;2;0;0;4.9;https://github.com/SimonWaldherr/cryptofoo
konami.js;5;0;0;0.8;https://github.com/SimonWaldherr/konami.js
C-qwncr;13;3;2;0.4;https://github.com/vsa-partners/c-qwncr
GSet;14;1;0;1.5;https://github.com/bemson/GSet/
Vine;11;1;0;0.8;https://github.com/arextar/Vine
environ;29;2;5;0.5;https://github.com/azer/environ
domReady;326;54;10;0.4;https://github.com/ded/domready
Morpheus;356;40;44;2.2;https://github.com/ded/morpheus
Species;11;0;3;0.6;https://github.com/k33g/species
sloth.js;6;1;0;0.4;https://github.com/hakubo/Sloth
Sslac;13;2;2;1.2;https://github.com/jakobo/sslac
store;372;15;69;1.2;https://github.com/nbubna/store
quark;1;0;0;1.9;https://github.com/pyrsmk/quark
qwest;4;0;0;1.2;https://github.com/pyrsmk/qwest
toast;32;6;1;0.5;https://github.com/pyrsmk/toast
hypo;4;0;1;1;https://github.com/shiftyp/hypo
draggable.js;35;13;0;0.8;http://gtramontina.github.io/draggable.js/
Microajax;0;0;5;0.4;http://code.google.com/p/microajax/
gowiththeflow.js;41;8;2;0.3;https://github.com/jeromeetienne/gowiththeflow.js
remove.js;2;1;1;1.5;https://github.com/scrapmac/snippets/tree/master/remove.js
Gator;221;10;122;0.9;http://craig.is/riding/gators
uuid-v4.js;19;1;2;0.2;https://github.com/makeable/uuid-v4.js
Behave.js;1,030;58;18;2.6;https://github.com/jakiestfu/Behave.js
tinyOSF.js;2;0;0;2.5;https://github.com/simonwaldherr/tinyOSF.js
resistance;45;6;6;0.4;https://github.com/jgallen23/resistance
an.hour.ago;0;0;17;0.7;https://bitbucket.org/davidchambers/an.hour.ago
mathmethods;8;3;0;0.5;https://github.com/davidchambers/mathmethods
autocast;9;2;0;0.2;https://github.com/bahamas10/node-autocast
Smoke Signals;0;0;0;0.2;https://bitbucket.org/bentomas/smokesignals.js
MinPubSub;99;16;9;0.2;https://github.com/daniellmb/MinPubSub
Proclaim;11;4;6;1.3;https://github.com/rowanmanning/proclaim
Loadrunner;187;22;30;2.8;https://github.com/danwrong/loadrunner
String::format;10;4;2;0.5;https://github.com/davidchambers/string-format
DoubleMetaphone;9;1;0;2.6;https://github.com/hgoebl/doublemetaphone
TimeJump;233;24;5;0.5;https://github.com/davatron5000/TimeJump
audio-fx;53;11;0;0.6;https://github.com/jakesgordon/javascript-audio-fx
es6-shim;321;24;35;3.2;https://github.com/paulmillr/es6-shim/
vagueTime.js;106;5;10;0.6;https://github.com/philbooth/vagueTime.js
Stately.js;269;23;29;0.9;https://github.com/fschaefer/Stately.js
Base64.js;27;10;1;0.4;https://github.com/davidchambers/Base64.js
breakup.js;2;0;0;0.6;https://github.com/nicjansma/breakup.js
ShuntingYard.js;2;0;0;0.7;https://github.com/Calamari/shunting-yard.js
Airwaves;11;1;1;0.8;https://github.com/davidchambers/airwaves
CSSfilter.js;2;1;0;0.4;https://github.com/SimonWaldherr/CSSfilter.js
imgResize.js;3;1;0;1.2;https://github.com/SimonWaldherr/imgResize.js
parseTime.js;1;0;0;2.1;https://github.com/SimonWaldherr/parseTime.js
Store.js;1,745;202;87;1;https://github.com/marcuswestin/store.js
microtext.js;17;2;2;0.6;https://github.com/rodrigoalvesvieira/microtext.js/
microcache.js;43;8;0;0.2;https://github.com/jeromeetienne/microcache.js
microevent.js;187;29;6;0.3;https://github.com/jeromeetienne/microevent.js
Probability.js;101;5;10;0.5;https://github.com/fschaefer/Probability.js
Barman;8;0;1;1.3;https://github.com/dfernandez79/barman
swiftcore.js;9;0;11;1;https://github.com/cburgdorf/swiftcore.js
T-Lite;8;4;8;0.5;https://github.com/CapMousse/T-Lite
Timed;72;4;22;0.7;https://github.com/ChiperSoft/Timed
Obscura;39;3;3;1.6;https://github.com/OiNutter/Obscura
lexer;16;4;3;0.8;https://github.com/aaditmshah/lexer
csv.js;9;1;0;0.8;https://github.com/avoidwork/csv.js
Hypher;135;12;3;0.8;https://github.com/bramstein/Hypher
ImageFlip.js;4;2;0;0.2;https://github.com/erf/ImageFlip.js
DOMBuilder;72;1;40;4.7;https://github.com/insin/DOMBuilder
shotgun.js;6;3;0;1.2;http://github.com/jgnewman/shotgun
js.class;0;0;2;0.4;http://code.google.com/p/jsclassextend/
Jwerty;735;60;21;1.7;https://github.com/keithamus/jwerty
statelet;13;2;1;0.5;https://github.com/joshwnj/statelet
PersonaJS;12;5;0;0.5;https://github.com/lloyd/persona.js
progress.js;24;4;5;0.7;https://github.com/mdix/progress.js
Chibi;313;21;175;2.5;https://github.com/kylebarrow/chibi
depot.js;188;8;19;0.9;https://github.com/mkuklis/depot.js
System.js;109;16;2;0.5;https://github.com/mrdoob/system.js
server2.js;12;1;1;4.2;https://github.com/thanpolas/server2js
Satisfy;126;7;6;1;https://github.com/padolsey/satisfy
goo.js;65;5;59;1;http://www.storminthecastle.com/projects/goo.js/
mediatizr;30;8;2;0.7;https://github.com/pyrsmk/mediatizr
ioc.js;6;0;0;0.6;https://github.com/tgriesser/ioc.js
promise.js;86;29;4;0.9;https://github.com/stackp/promisejs
Mold;21;1;18;1.9;http://marijnhaverbeke.nl/mold/
picoCSS;34;4;6;0.3;https://github.com/vladocar/picoCSS
defer.js;22;4;3;1.8;https://github.com/wessman/defer.js
PullToRefresh;15;2;3;1.6;https://github.com/SimonWaldherr/PullToRefresh
Cookie Monster;34;10;3;0.5;https://github.com/jgallen23/cookie-monster
Mouse;102;8;0;1.2;http://benvie.github.io/Mouse
spooks.js;4;0;3;0.9;https://github.com/philbooth/spooks.js
ua.js;22;6;2;0.4;https://github.com/g13n/ua.js
Bowser;158;32;28;0.5;https://github.com/ded/bowser
Anim;16;4;1;1.5;https://github.com/relay/anim
nut;14;3;1;0.5;https://github.com/pyrsmk/nut
atom.js;36;9;7;1.5;https://github.com/zynga/atom
Include.js;75;8;0;0.8;http://capmousse.github.io/include.js/
JS-Signals;663;54;9;1.1;http://millermedeiros.github.io/js-signals/
Ender;102;9;662;0.6;http://ender.no.de
Head JS;2,999;259;2,861;3.4;http://headjs.com/
Zepto;5,340;806;2,154;4.6;http://zeptojs.com
safemap.js;3;0;0;0.5;https://github.com/philbooth/safemap.js
husl;62;6;0;2.1;http://boronine.github.io/husl
Class.js;24;2;0;0.6;https://github.com/DominikGuzei/Class.js
Driftwood;9;5;0;4.2;https://github.com/mattkanwisher/driftwood.js
Bean;641;71;51;3.9;https://github.com/fat/bean
W;52;3;5;0.4;https://github.com/pyrsmk/W
Countable;850;85;249;1;http://radlikewhoa.github.io/Countable
fader.js;8;4;0;0.6;http://lukelex.github.io/fader.js/
JSON 3;394;40;2;3.1;http://bestiejs.github.io/json3
Maddy;42;0;0;2.4;http://bestiejs.github.io/maddy
htmlentities.js;14;1;0;0.2;https://github.com/jussi-kalliokoski/htmlentities.js
filesize.js;40;5;17;0.6;http://filesizejs.com
ICanHaz;684;110;344;2.3;http://icanhazjs.com/
JSONSelect;906;61;1,008;2.9;http://jsonselect.org
LeviRoutes;184;13;0;0.7;http://leviroutes.com
DCL.js;26;4;6;0.6;http://www.dcljs.org/
yepnope;1,879;229;1,412;1.8;http://yepnopejs.com/
D.js;5;2;0;1.1;http://malko.github.io/D.js/
l.js;23;3;0;0.9;http://malko.github.io/l.js/
SubtleLocationProxy;12;0;0;0.8;https://github.com/subtleGradient/SubtleLocationProxy.js
css-time.js;1;0;0;0.3;https://github.com/philbooth/css-time.js
Hasher;222;35;10;1.2;https://github.com/millermedeiros/Hasher
EventEmitter;381;49;37;0.9;https://github.com/Wolfy87/EventEmitter
binary.js;25;1;1;0.7;https://github.com/jussi-kalliokoski/binary.js
DOMpteur;2;0;0;1.9;https://github.com/SimonWaldherr/DOMpteur
majaX.js;2;0;0;4.2;https://github.com/SimonWaldherr/majaX.js
sawkit-client;0;0;0;1;https://github.com/cScarlson/sawkit-client
Miniscroll.js;13;4;1;3;https://github.com/rogerluiz/Miniscroll-JS
Smoothie Charts;832;58;318;2.4;http://smoothiecharts.org/
Transparency.js;460;62;41;0.6;https://github.com/leonidas/transparency
defineObject;4;1;0;0.6;https://github.com/smelnikov/defineObject
OORJa;30;5;0;0.6;http://maxpert.github.io/oorja/
Firmin;181;11;246;2.4;http://extralogical.net/projects/firmin/
cssanimevent;10;0;4;0.8;https://github.com/magnetikonline/cssanimevent
jph.js;5;0;11;1.2;https://github.com/nokia-entertainment/JSONPHandler
Mediator.js;145;30;0;1.2;http://www.thejacklawson.com/Mediator.js
OneDollar.js;9;0;12;1.7;https://github.com/voidplus/onedollar-coffeescript
ancestry.js;8;0;1;0.4;https://github.com/jasonwyatt/ancestry.js
chronology.js;3;0;0;0.5;http://chronology.wout.co.uk
jWorkflow;80;10;6;0.6;http://github.com/tinyhippos/jWorkflow
Callbacks.js;9;2;0;0.3;https://github.com/dperrymorrow/callbacks.js
check-types.js;11;4;1;0.7;https://github.com/philbooth/check-types.js
Hamster.js;14;0;0;1;https://github.com/monospaced/hamster.js
infuse.js;24;4;7;1.8;https://github.com/soundstep/infuse.js
Upcast;26;1;7;0.6;https://github.com/rowanmanning/upcast
inputControl;14;0;0;0.3;https://github.com/metalipower/inputControl
microjungle;63;5;9;0.3;https://github.com/deepsweet/microjungle
